20120309  18375960   -7.9500   113.4600     10.000   2.6    0.00    0.00   0.47         69
20120309  21270940   -9.2400   112.9400     68.000   4.7    0.00    0.00   1.35         70
20120310  10331110   -7.9500   113.5600     30.000   2.5    0.00    0.00   0.35         71
20120310  19193890  -11.0100   113.3600     27.000   4.6    0.00    0.00   0.42         72
20120311  14233690   -9.2300   113.4900     10.000   3.0    0.00    0.00   0.40         73
20120312   2471110  -10.1100   113.4000     21.000   3.5    0.00    0.00   0.80         74
20120312  14065250   -7.9600   111.6800     10.000   2.1    0.00    0.00   0.36         75
20120312  16164230   -9.6000   113.9100     11.000   3.4    0.00    0.00   0.77         76
20120312  16253830   -9.6200   113.8800     10.000   4.1    0.00    0.00   0.85         77
20120312  22375750  -10.5500   113.9800     10.000   3.6    0.00    0.00   0.73         78
20120316  14503960   -9.1200   112.4800     60.000   3.6    0.00    0.00   0.47         79
20120317  19420450   -9.0200   113.1900     19.000   3.4    0.00    0.00   0.40         80
20120319   2193750   -8.0300   110.4300     10.000   4.2    0.00    0.00   0.95         81
20120321   6024110   -9.0800   112.7300     10.000   3.4    0.00    0.00   0.70         82
20120322  14594540   -9.5100   112.7700     21.000   3.8    0.00    0.00   0.97         83
20120322  18490610   -7.7700   112.9600     11.000   2.7    0.00    0.00   0.60         84
20120324  17215540   -8.4100   111.0300     15.000   3.2    0.00    0.00   0.60         85
20120326   6261290   -9.4500   113.5800     60.000   3.4    0.00    0.00   0.98         86
20120326  20414640  -10.9700   111.8700     10.000   4.1    0.00    0.00   0.84         87
20120327  19253920   -8.6900   112.4200     51.000   3.1    0.00    0.00   0.59         88
20120328  20272060   -9.4200   110.4600     25.000   3.0    0.00    0.00   0.39         89
20120328  23094810   -9.3300   113.4800     50.000   4.9    0.00    0.00   0.97         90
20120329  15570650   -9.2100   110.3000     18.000   2.9    0.00    0.00   0.50         91
20120331   3061250   -8.8900   111.1700     23.000   3.8    0.00    0.00   0.85         92
20120331   3464050   -9.0500   112.9100     33.000   4.0    0.00    0.00   0.40         93
20120402  12482240   -6.8600   112.4700     19.000   3.2    0.00    0.00   0.81         94
20120406  10254350   -7.7400   113.9700     10.000   2.7    0.00    0.00   0.21         95
20120407  15533040   -7.7200   113.9600     10.000   2.3    0.00    0.00   0.36         96
20120407  16584260   -7.7200   113.9800     10.000   2.4    0.00    0.00   0.69         97
20120407  20322830   -9.1100   110.5200     43.000   4.4    0.00    0.00   0.66         98
20120411   6175460   -9.2400   113.1500     10.000   2.9    0.00    0.00   0.43         99
20120411  16214820  -10.7600   113.7200     38.000   5.1    0.00    0.00   0.92        100
20120411  20512050   -8.6300   110.7600     10.000   2.6    0.00    0.00   0.23        101
20120412  12413630  -10.0700   112.9700    114.000   3.6    0.00    0.00   0.17        102
20120413  10224570   -7.9700   113.4300     10.000   3.3    0.00    0.00   0.73        103
20120413  14472290   -9.0100   112.1500     58.000   3.5    0.00    0.00   0.95        104
20120414  17114450  -10.5900   112.4900     15.000   4.5    0.00    0.00   1.13        105
20120414  21241870   -7.1300   113.6500     11.000   3.4    0.00    0.00   0.89        106
20120414  22372550   -7.1100   113.6200     10.000   3.5    0.00    0.00   1.27        107
20120415    482670   -9.0000   111.7200     59.000   3.1    0.00    0.00   0.94        108
20120417  15083760   -8.7700   112.8300    118.000   4.1    0.00    0.00   0.47        109
20120417  18451920  -10.7500   113.6400     10.000   3.8    0.00    0.00   0.29        110
20120418  20022710   -8.9600   110.0000     10.000   3.3    0.00    0.00   0.57        111
20120418  20235880   -8.0700   112.2600    167.000   3.6    0.00    0.00   0.62        112
20120420  21452180  -10.4500   113.5900     10.000   4.7    0.00    0.00   0.95        113
20120422  22551470   -9.5000   112.9500     12.000   3.7    0.00    0.00   0.47        114
20120426  16570810   -9.4600   112.8800     10.000   3.4    0.00    0.00   1.09        115
