#			1
GMJI   51.90    1.000   P
BWJI   57.10    1.000   S
GRJI   58.60    1.000   S
#			19
GMJI   17.10    1.000   P
PWJI   17.40    1.000   P
SWJI   21.00    1.000   P
PCJI   22.80    1.000   P
BLJI   24.30    1.000   P
JAGI   25.40    1.000   P
GRJI   29.50    1.000   P
ABJI   31.10    1.000   P
GMJI   32.10    1.000   S
SWJI   38.10    1.000   S
#			20
PCJI   14.00    1.000   P
PWJI   18.20    1.000   P
SWJI   21.20    1.000   P
PCJI   24.70    1.000   S
SMRI   30.20    1.000   P
PWJI   32.60    1.000   S
SCJI   34.20    1.000   P
SWJI   37.50    1.000   S
KPJI   40.40    1.000   P
BLJI   40.90    1.000   P
JAGI   44.80    1.000   P
ABJI   48.60    1.000   P
SMRI   53.40    1.000   S
BLJI   70.40    1.000   S
KPJI   71.90    1.000   S
JAGI   77.90    1.000   S
ABJI   86.30    1.000   S
#			21
PCJI   12.90    1.000   P
SWJI   19.40    1.000   P
PCJI   23.20    1.000   S
TBJI   33.20    1.000   P
SMRI   33.70    1.000   P
GRJI   34.60    1.000   P
SWJI   35.40    1.000   S
BLJI   37.40    1.000   P
SCJI   38.70    1.000   P
JAGI   40.70    1.000   P
KPJI   44.60    1.000   P
ABJI   45.00    1.000   P
KMMI   46.00    1.000   P
BYJI   46.20    1.000   P
BWJI   47.60    1.000   P
JCJI   57.40    1.000   P
BLJI   65.80    1.000   S
ABJI   78.90    1.000   S
KPJI   80.10    1.000   S
CGJI   89.10    1.000   P
JCJI   100.30    1.000   S
#			22
PCJI   10.90    1.000   P
PWJI   13.70    1.000   P
SWJI   17.60    1.000   P
PCJI   20.90    1.000   S
PWJI   25.80    1.000   S
SWJI   32.50    1.000   S
#			23
PCJI   13.00    1.000   P
PWJI   15.80    1.000   P
SWJI   19.70    1.000   P
PCJI   22.80    1.000   S
SMRI   32.90    1.000   P
GRJI   34.60    1.000   P
SWJI   35.50    1.000   S
BLJI   37.30    1.000   P
SCJI   40.70    1.000   P
JAGI   41.50    1.000   P
KPJI   45.00    1.000   P
ABJI   45.60    1.000   P
#			24
PCJI   12.30    1.000   P
PWJI   16.30    1.000   P
SWJI   19.70    1.000   P
PCJI   21.90    1.000   S
PWJI   28.20    1.000   S
#			25
PCJI   16.50    1.000   P
PWJI   24.00    1.000   P
SWJI   26.70    1.000   P
PCJI   28.90    1.000   S
SCJI   31.20    1.000   P
SMRI   33.00    1.000   P
PWJI   42.80    1.000   S
SWJI   47.50    1.000   S
SCJI   52.00    1.000   S
SMRI   54.70    1.000   S
#			26
PWJI   24.00    1.000   P
SWJI   24.40    1.000   P
PCJI   27.20    1.000   P
GRJI   27.70    1.000   P
TBJI   27.90    1.000   P
GMJI   30.70    1.000   P
BLJI   32.40    1.000   P
SMRI   34.90    1.000   P
KMMI   37.80    1.000   P
ABJI   39.50    1.000   P
BWJI   40.00    1.000   P
BYJI   42.00    1.000   P
PWJI   43.30    1.000   S
PCJI   48.50    1.000   S
GRJI   50.60    1.000   S
GMJI   55.30    1.000   S
BLJI   57.00    1.000   S
CGJI   91.40    1.000   P
#			27
PWJI   15.10    1.000   P
PCJI   16.30    1.000   P
SWJI   18.60    1.000   P
PWJI   26.00    1.000   S
PCJI   27.90    1.000   S
GMJI   29.20    1.000   P
SWJI   32.50    1.000   S
JAGI   38.30    1.000   P
GMJI   51.80    1.000   S
GRJI   53.90    1.000   P
JAGI   66.70    1.000   S
#			28
GMJI   21.40    1.000   P
